:nemesis	:info	:start-partition	:majorities-ring
1	:invoke	:read	nil
1	:ok	:read	[]
:nemesis	:info	:start-partition	[:isolated {"n2" #{"n1" "n4"}, "n0" #{"n4" "n3"}, "n1" #{"n2" "n3"}, "n4" #{"n2" "n0"}, "n3" #{"n1" "n0"}}]
2	:invoke	:read	nil
2	:ok	:read	[]
3	:invoke	:read	nil
3	:ok	:read	[]
4	:invoke	:read	nil
4	:ok	:read	[]
0	:invoke	:read	nil
0	:ok	:read	[]
0	:invoke	:broadcast	0
0	:ok	:broadcast	0
1	:invoke	:read	nil
1	:ok	:read	[0]
2	:invoke	:broadcast	1
2	:ok	:broadcast	1
3	:invoke	:broadcast	2
3	:ok	:broadcast	2
4	:invoke	:read	nil
4	:ok	:read	[0 2]
0	:invoke	:read	nil
0	:ok	:read	[0 2]
0	:invoke	:broadcast	3
0	:ok	:broadcast	3
1	:invoke	:broadcast	4
1	:ok	:broadcast	4
2	:invoke	:read	nil
2	:ok	:read	[1]
3	:invoke	:read	nil
3	:ok	:read	[0 2 3 4]
4	:invoke	:read	nil
4	:ok	:read	[0 2 3 4]
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4]
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4]
1	:invoke	:read	nil
1	:ok	:read	[0 2 3 4]
2	:invoke	:broadcast	5
2	:ok	:broadcast	5
3	:invoke	:broadcast	6
3	:ok	:broadcast	6
4	:invoke	:broadcast	7
4	:ok	:broadcast	7
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7]
0	:invoke	:broadcast	8
0	:ok	:broadcast	8
1	:invoke	:broadcast	9
1	:ok	:broadcast	9
2	:invoke	:broadcast	10
2	:ok	:broadcast	10
3	:invoke	:broadcast	11
3	:ok	:broadcast	11
4	:invoke	:broadcast	12
4	:ok	:broadcast	12
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12]
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12]
1	:invoke	:read	nil
1	:ok	:read	[0 2 3 4 6 7 8 9 11 12]
2	:invoke	:read	nil
2	:ok	:read	[1 5 10]
3	:invoke	:read	nil
3	:ok	:read	[0 2 3 4 6 7 8 9 11 12]
4	:invoke	:read	nil
4	:ok	:read	[0 2 3 4 6 7 8 9 11 12]
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12]
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12]
1	:invoke	:read	nil
1	:ok	:read	[0 2 3 4 6 7 8 9 11 12]
2	:invoke	:broadcast	13
2	:ok	:broadcast	13
3	:invoke	:broadcast	14
3	:ok	:broadcast	14
4	:invoke	:read	nil
4	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14]
0	:invoke	:broadcast	15
0	:ok	:broadcast	15
0	:invoke	:broadcast	16
0	:ok	:broadcast	16
1	:invoke	:read	nil
1	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16]
2	:invoke	:read	nil
2	:ok	:read	[1 5 10 13]
3	:invoke	:read	nil
4	:invoke	:broadcast	17
4	:ok	:broadcast	17
3	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16]
0	:invoke	:broadcast	18
0	:ok	:broadcast	18
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18]
1	:invoke	:read	nil
1	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18]
2	:invoke	:broadcast	19
2	:ok	:broadcast	19
3	:invoke	:read	nil
3	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18]
4	:invoke	:read	nil
4	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18]
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18]
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18]
1	:invoke	:read	nil
1	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18]
2	:invoke	:broadcast	20
2	:ok	:broadcast	20
3	:invoke	:broadcast	21
3	:ok	:broadcast	21
4	:invoke	:broadcast	22
4	:ok	:broadcast	22
0	:invoke	:broadcast	23
0	:ok	:broadcast	23
0	:invoke	:broadcast	24
0	:ok	:broadcast	24
1	:invoke	:broadcast	25
1	:ok	:broadcast	25
2	:invoke	:broadcast	26
2	:ok	:broadcast	26
3	:invoke	:broadcast	27
3	:ok	:broadcast	27
4	:invoke	:broadcast	28
4	:ok	:broadcast	28
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28]
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28]
1	:invoke	:broadcast	29
1	:ok	:broadcast	29
2	:invoke	:broadcast	30
2	:ok	:broadcast	30
3	:invoke	:broadcast	31
3	:ok	:broadcast	31
4	:invoke	:broadcast	32
4	:ok	:broadcast	32
0	:invoke	:broadcast	33
0	:ok	:broadcast	33
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33]
1	:invoke	:broadcast	34
1	:ok	:broadcast	34
2	:invoke	:broadcast	35
2	:ok	:broadcast	35
3	:invoke	:read	nil
3	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34]
4	:invoke	:broadcast	36
4	:ok	:broadcast	36
0	:invoke	:broadcast	37
0	:ok	:broadcast	37
0	:invoke	:broadcast	38
0	:ok	:broadcast	38
1	:invoke	:read	nil
1	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38]
2	:invoke	:broadcast	39
2	:ok	:broadcast	39
3	:invoke	:read	nil
3	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38]
4	:invoke	:broadcast	40
4	:ok	:broadcast	40
0	:invoke	:broadcast	41
0	:ok	:broadcast	41
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41]
1	:invoke	:read	nil
1	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41]
2	:invoke	:read	nil
2	:ok	:read	[1 5 10 13 19 20 26 30 35 39]
