:nemesis	:info	:start-partition	:one
1	:invoke	:read	nil
1	:ok	:read	[]
:nemesis	:info	:start-partition	[:isolated {"n1" #{"n2" "n4" "n0" "n3"}, "n2" #{"n1"}, "n4" #{"n1"}, "n0" #{"n1"}, "n3" #{"n1"}}]
2	:invoke	:read	nil
2	:ok	:read	[]
3	:invoke	:read	nil
3	:ok	:read	[]
4	:invoke	:broadcast	0
4	:ok	:broadcast	0
0	:invoke	:broadcast	1
0	:ok	:broadcast	1
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 1]
1	:invoke	:broadcast	2
1	:ok	:broadcast	2
2	:invoke	:broadcast	3
2	:ok	:broadcast	3
3	:invoke	:broadcast	4
3	:ok	:broadcast	4
4	:invoke	:broadcast	5
4	:ok	:broadcast	5
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 1 4 4 5 5]
0	:invoke	:broadcast	6
0	:ok	:broadcast	6
1	:invoke	:broadcast	7
1	:ok	:broadcast	7
2	:invoke	:read	nil
2	:ok	:read	[3 3]
3	:invoke	:read	nil
3	:ok	:read	[0 0 1 1 4 4 5 5 6 6]
4	:invoke	:read	nil
4	:ok	:read	[0 0 1 1 4 4 5 5 6 6]
0	:invoke	:broadcast	8
0	:ok	:broadcast	8
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8]
1	:invoke	:read	nil
1	:ok	:read	[2 2 7 7]
2	:invoke	:read	nil
2	:ok	:read	[3 3]
3	:invoke	:read	nil
3	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8]
4	:invoke	:read	nil
4	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8]
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8]
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8]
1	:invoke	:broadcast	9
1	:ok	:broadcast	9
2	:invoke	:read	nil
2	:ok	:read	[3 3]
3	:invoke	:read	nil
3	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8]
4	:invoke	:broadcast	10
4	:ok	:broadcast	10
0	:invoke	:broadcast	11
0	:ok	:broadcast	11
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8 10 10 11 11]
1	:invoke	:broadcast	12
1	:ok	:broadcast	12
2	:invoke	:broadcast	13
2	:ok	:broadcast	13
3	:invoke	:read	nil
3	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8 10 10 11 11]
4	:invoke	:read	nil
4	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8 10 10 11 11]
0	:invoke	:broadcast	14
0	:ok	:broadcast	14
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8 10 10 11 11 14 14]
1	:invoke	:broadcast	15
1	:ok	:broadcast	15
2	:invoke	:read	nil
2	:ok	:read	[3 3 13 13]
3	:invoke	:broadcast	16
3	:ok	:broadcast	16
4	:invoke	:broadcast	17
4	:ok	:broadcast	17
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8 10 10 11 11 14 14 16 16 17 17]
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8 10 10 11 11 14 14 16 16 17 17]
1	:invoke	:read	nil
1	:ok	:read	[2 2 7 7 9 9 12 12 15 15]
2	:invoke	:read	nil
2	:ok	:read	[3 3 13 13]
3	:invoke	:read	nil
3	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8 10 10 11 11 14 14 16 16 17 17]
4	:invoke	:read	nil
4	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8 10 10 11 11 14 14 16 16 17 17]
0	:invoke	:broadcast	18
0	:ok	:broadcast	18
0	:invoke	:broadcast	19
0	:ok	:broadcast	19
1	:invoke	:read	nil
1	:ok	:read	[2 2 7 7 9 9 12 12 15 15]
2	:invoke	:read	nil
2	:ok	:read	[3 3 13 13]
3	:invoke	:broadcast	20
3	:ok	:broadcast	20
4	:invoke	:broadcast	21
4	:ok	:broadcast	21
0	:invoke	:broadcast	22
1	:invoke	:broadcast	23
0	:ok	:broadcast	22
1	:ok	:broadcast	23
1	:invoke	:read	nil
1	:ok	:read	[2 2 7 7 9 9 12 12 15 15 23 23]
2	:invoke	:broadcast	24
2	:ok	:broadcast	24
3	:invoke	:broadcast	25
3	:ok	:broadcast	25
4	:invoke	:read	nil
4	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8 10 10 11 11 14 14 16 16 17 17 18 18 19 19 20 20 21 21 22 22 25 25]
0	:invoke	:broadcast	26
0	:ok	:broadcast	26
0	:invoke	:broadcast	27
0	:ok	:broadcast	27
1	:invoke	:broadcast	28
1	:ok	:broadcast	28
2	:invoke	:broadcast	29
2	:ok	:broadcast	29
3	:invoke	:read	nil
3	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8 10 10 11 11 14 14 16 16 17 17 18 18 19 19 20 20 21 21 22 22 25 25 26 26 27 27]
4	:invoke	:read	nil
4	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8 10 10 11 11 14 14 16 16 17 17 18 18 19 19 20 20 21 21 22 22 25 25 26 26 27 27]
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8 10 10 11 11 14 14 16 16 17 17 18 18 19 19 20 20 21 21 22 22 25 25 26 26 27 27]
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8 10 10 11 11 14 14 16 16 17 17 18 18 19 19 20 20 21 21 22 22 25 25 26 26 27 27]
1	:invoke	:broadcast	30
1	:ok	:broadcast	30
2	:invoke	:broadcast	31
2	:ok	:broadcast	31
3	:invoke	:read	nil
3	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8 10 10 11 11 14 14 16 16 17 17 18 18 19 19 20 20 21 21 22 22 25 25 26 26 27 27]
4	:invoke	:read	nil
4	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8 10 10 11 11 14 14 16 16 17 17 18 18 19 19 20 20 21 21 22 22 25 25 26 26 27 27]
0	:invoke	:broadcast	32
0	:ok	:broadcast	32
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8 10 10 11 11 14 14 16 16 17 17 18 18 19 19 20 20 21 21 22 22 25 25 26 26 27 27 32 32]
1	:invoke	:broadcast	33
1	:ok	:broadcast	33
2	:invoke	:broadcast	34
2	:ok	:broadcast	34
3	:invoke	:read	nil
3	:ok	:read	[0 0 1 1 4 4 5 5 6 6 8 8 10 10 11 11 14 14 16 16 17 17 18 18 19 19 20 20 21 21 22 22 25 25 26 26 27 27 32 32]
