:nemesis	:info	:start-partition	:one
1	:invoke	:read	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{"n1" "n0"}, "n1" #{"n2"}, "n0" #{"n2"}}]
2	:invoke	:add	4
1	:ok	:read	0
0	:invoke	:read	nil
1	:invoke	:read	nil
2	:ok	:add	4
0	:ok	:read	4
1	:ok	:read	4
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:read	nil
2	:ok	:read	4
0	:invoke	:read	nil
0	:ok	:read	4
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:read	nil
1	:ok	:read	4
2	:invoke	:read	nil
0	:invoke	:read	nil
2	:ok	:read	7
0	:ok	:read	7
0	:invoke	:read	nil
0	:ok	:read	7
1	:invoke	:read	nil
1	:ok	:read	7
2	:invoke	:read	nil
2	:ok	:read	7
0	:invoke	:read	nil
0	:ok	:read	7
0	:invoke	:read	nil
0	:ok	:read	7
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:read	nil
2	:ok	:read	7
0	:invoke	:read	nil
0	:ok	:read	7
0	:invoke	:read	nil
0	:ok	:read	7
1	:invoke	:read	nil
1	:ok	:read	7
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	7
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	7
1	:ok	:read	7
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	7
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	17
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:add	1
1	:invoke	:read	nil
0	:ok	:add	1
1	:ok	:read	19
1	:invoke	:read	nil
1	:ok	:read	23
2	:invoke	:read	nil
2	:ok	:read	23
0	:invoke	:read	nil
0	:ok	:read	24
0	:invoke	:read	nil
0	:ok	:read	24
1	:invoke	:read	nil
1	:ok	:read	24
2	:invoke	:read	nil
2	:ok	:read	24
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	24
1	:invoke	:read	nil
1	:ok	:read	24
2	:invoke	:read	nil
2	:ok	:read	24
0	:invoke	:read	nil
0	:ok	:read	24
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	24
2	:invoke	:read	nil
2	:ok	:read	26
0	:invoke	:read	nil
0	:ok	:read	26
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	26
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	28
0	:invoke	:read	nil
0	:ok	:read	28
1	:invoke	:read	nil
1	:ok	:read	28
2	:invoke	:read	nil
2	:ok	:read	28
0	:invoke	:read	nil
0	:ok	:read	28
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:read	nil
1	:ok	:read	28
2	:invoke	:read	nil
2	:ok	:read	28
0	:invoke	:read	nil
0	:ok	:read	31
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	36
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:read	nil
2	:ok	:read	35
0	:invoke	:read	nil
0	:ok	:read	38
0	:invoke	:add	3
1	:invoke	:read	nil
0	:ok	:add	3
1	:ok	:read	38
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	45
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:read	nil
1	:ok	:read	45
2	:invoke	:read	nil
2	:ok	:read	48
0	:invoke	:read	nil
0	:ok	:read	48
0	:invoke	:read	nil
0	:ok	:read	48
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:add	0
1	:invoke	:read	nil
0	:ok	:add	0
1	:ok	:read	52
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:read	nil
2	:ok	:read	52
0	:invoke	:read	nil
0	:ok	:read	52
0	:invoke	:read	nil
0	:ok	:read	52
:nemesis	:info	:stop-partition	nil
:nemesis	:info	:stop-partition	:network-healed
2	:invoke	:read	nil
2	:ok	:read	52
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	53
2	:invoke	:read	nil
2	:ok	:read	53
0	:invoke	:read	nil
0	:ok	:read	57
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:read	nil
1	:ok	:read	57
2	:invoke	:read	nil
2	:ok	:read	60
0	:invoke	:read	nil
0	:ok	:read	60
0	:invoke	:read	nil
0	:ok	:read	60
1	:invoke	:read	nil
1	:ok	:read	60
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	61
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	61
2	:invoke	:read	nil
2	:ok	:read	61
0	:invoke	:read	nil
0	:ok	:read	61
0	:invoke	:read	nil
0	:ok	:read	61
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	63
0	:invoke	:read	nil
0	:ok	:read	63
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	71
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	71
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	74
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	81
0	:invoke	:read	nil
0	:ok	:read	81
1	:invoke	:read	nil
1	:ok	:read	76
2	:invoke	:read	nil
2	:ok	:read	81
0	:invoke	:read	nil
0	:ok	:read	81
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	88
0	:invoke	:read	nil
0	:ok	:read	88
1	:invoke	:read	nil
1	:ok	:read	88
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	92
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	101
1	:invoke	:read	nil
1	:ok	:read	101
2	:invoke	:read	nil
2	:ok	:read	101
0	:invoke	:read	nil
0	:ok	:read	101
0	:invoke	:read	nil
0	:ok	:read	101
1	:invoke	:read	nil
1	:ok	:read	101
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	101
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:read	nil
1	:ok	:read	105
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	105
0	:invoke	:read	nil
0	:ok	:read	106
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
0	:invoke	:add	0
2	:ok	:read	110
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	106
1	:invoke	:read	nil
1	:ok	:read	110
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	114
1	:invoke	:read	nil
1	:ok	:read	114
2	:invoke	:read	nil
2	:ok	:read	114
0	:invoke	:read	nil
0	:ok	:read	114
0	:invoke	:read	nil
0	:ok	:read	114
1	:invoke	:read	nil
1	:ok	:read	114
2	:invoke	:read	nil
2	:ok	:read	114
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	116
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:read	nil
2	:ok	:read	116
0	:invoke	:read	nil
0	:ok	:read	118
0	:invoke	:read	nil
0	:ok	:read	118
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	126
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	129
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	129
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	133
0	:invoke	:read	nil
0	:ok	:read	133
0	:invoke	:read	nil
0	:ok	:read	133
1	:invoke	:read	nil
1	:ok	:read	133
2	:invoke	:read	nil
2	:ok	:read	133
0	:invoke	:read	nil
0	:ok	:read	133
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:read	nil
1	:ok	:read	136
2	:invoke	:read	nil
2	:ok	:read	136
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	140
1	:invoke	:read	nil
1	:ok	:read	140
2	:invoke	:read	nil
2	:ok	:read	136
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	144
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	147
0	:invoke	:read	nil
0	:ok	:read	147
1	:invoke	:read	nil
1	:ok	:read	147
2	:invoke	:read	nil
2	:ok	:read	147
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	151
1	:invoke	:read	nil
1	:ok	:read	151
2	:invoke	:read	nil
2	:ok	:read	147
0	:invoke	:read	nil
0	:ok	:read	151
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	153
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	155
0	:invoke	:read	nil
0	:ok	:read	155
1	:invoke	:read	nil
1	:ok	:read	155
2	:invoke	:read	nil
2	:ok	:read	155
0	:invoke	:read	nil
0	:ok	:read	155
0	:invoke	:read	nil
0	:ok	:read	155
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:read	nil
2	:ok	:read	157
0	:invoke	:read	nil
0	:ok	:read	155
0	:invoke	:read	nil
0	:ok	:read	157
1	:invoke	:add	4
2	:invoke	:add	1
1	:ok	:add	4
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	157
0	:invoke	:read	nil
0	:ok	:read	161
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	165
0	:invoke	:read	nil
0	:ok	:read	165
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	165
2	:invoke	:read	nil
2	:ok	:read	165
0	:invoke	:read	nil
0	:ok	:read	165
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	165
2	:invoke	:read	nil
2	:ok	:read	165
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	165
2	:invoke	:read	nil
2	:ok	:read	167
0	:invoke	:read	nil
0	:ok	:read	167
0	:invoke	:read	nil
0	:ok	:read	167
1	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	167
2	:ok	:read	167
0	:invoke	:read	nil
0	:ok	:read	167
0	:invoke	:read	nil
0	:ok	:read	167
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	169
1	:invoke	:read	nil
