:nemesis	:info	:start-partition	:majority
1	:invoke	:generate	nil
2	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{"n1" "n0"}, "n1" #{"n2"}, "n0" #{"n2"}}]
0	:invoke	:generate	nil
1	:ok	:generate	"11"
2	:ok	:generate	"11"
1	:invoke	:generate	nil
0	:ok	:generate	"11"
2	:invoke	:generate	nil
1	:ok	:generate	"22"
2	:ok	:generate	"22"
2	:invoke	:generate	nil
2	:ok	:generate	"33"
0	:invoke	:generate	nil
0	:ok	:generate	"22"
0	:invoke	:generate	nil
0	:ok	:generate	"33"
1	:invoke	:generate	nil
1	:ok	:generate	"33"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"44"
1	:invoke	:generate	nil
0	:ok	:generate	"44"
1	:ok	:generate	"44"
1	:invoke	:generate	nil
1	:ok	:generate	"55"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"55"
0	:ok	:generate	"55"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"66"
2	:invoke	:generate	nil
1	:ok	:generate	"66"
2	:ok	:generate	"66"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"77"
1	:ok	:generate	"77"
1	:invoke	:generate	nil
1	:ok	:generate	"88"
2	:invoke	:generate	nil
2	:ok	:generate	"77"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"88"
1	:ok	:generate	"99"
1	:invoke	:generate	nil
1	:ok	:generate	"1010"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"88"
0	:ok	:generate	"99"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"1010"
1	:ok	:generate	"1111"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"99"
1	:invoke	:generate	nil
0	:ok	:generate	"1111"
2	:invoke	:generate	nil
1	:ok	:generate	"1212"
0	:invoke	:generate	nil
2	:ok	:generate	"1010"
0	:ok	:generate	"1212"
0	:invoke	:generate	nil
0	:ok	:generate	"1313"
0	:invoke	:generate	nil
0	:ok	:generate	"1414"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"1313"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"1111"
0	:ok	:generate	"1515"
1	:ok	:generate	"1414"
1	:invoke	:generate	nil
1	:ok	:generate	"1515"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"1212"
0	:ok	:generate	"1616"
1	:ok	:generate	"1616"
1	:invoke	:generate	nil
1	:ok	:generate	"1717"
2	:invoke	:generate	nil
2	:ok	:generate	"1313"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"1717"
2	:ok	:generate	"1414"
1	:ok	:generate	"1818"
2	:invoke	:generate	nil
2	:ok	:generate	"1515"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"1818"
1	:ok	:generate	"1919"
1	:invoke	:generate	nil
1	:ok	:generate	"2020"
2	:invoke	:generate	nil
2	:ok	:generate	"1616"
0	:invoke	:generate	nil
0	:ok	:generate	"1919"
0	:invoke	:generate	nil
0	:ok	:generate	"2020"
1	:invoke	:generate	nil
1	:ok	:generate	"2121"
2	:invoke	:generate	nil
2	:ok	:generate	"1717"
0	:invoke	:generate	nil
0	:ok	:generate	"2121"
0	:invoke	:generate	nil
0	:ok	:generate	"2222"
1	:invoke	:generate	nil
1	:ok	:generate	"2222"
2	:invoke	:generate	nil
2	:ok	:generate	"1818"
0	:invoke	:generate	nil
0	:ok	:generate	"2323"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"2424"
2	:invoke	:generate	nil
1	:ok	:generate	"2323"
2	:ok	:generate	"1919"
0	:invoke	:generate	nil
0	:ok	:generate	"2525"
0	:invoke	:generate	nil
0	:ok	:generate	"2626"
1	:invoke	:generate	nil
1	:ok	:generate	"2424"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	"2727"
2	:ok	:generate	"2020"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"2828"
1	:ok	:generate	"2525"
2	:invoke	:generate	nil
2	:ok	:generate	"2121"
0	:invoke	:generate	nil
0	:ok	:generate	"2929"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"3030"
1	:ok	:generate	"2626"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"2222"
0	:ok	:generate	"3131"
0	:invoke	:generate	nil
0	:ok	:generate	"3232"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"2727"
2	:ok	:generate	"2323"
0	:invoke	:generate	nil
0	:ok	:generate	"3333"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"3434"
1	:ok	:generate	"2828"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"2424"
0	:ok	:generate	"3535"
0	:invoke	:generate	nil
0	:ok	:generate	"3636"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
2	:ok	:generate	"2525"
1	:ok	:generate	"2929"
0	:invoke	:generate	nil
0	:ok	:generate	"3737"
0	:invoke	:generate	nil
0	:ok	:generate	"3838"
1	:invoke	:generate	nil
1	:ok	:generate	"3030"
2	:invoke	:generate	nil
2	:ok	:generate	"2626"
0	:invoke	:generate	nil
0	:ok	:generate	"3939"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"4040"
1	:ok	:generate	"3131"
0	:invoke	:generate	nil
2	:ok	:generate	"2727"
1	:invoke	:generate	nil
0	:ok	:generate	"4141"
2	:invoke	:generate	nil
